ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2021-08-25T07:00:00+00:00,8770000,8.77M,,,,
_AAIC,2021-08-25T07:00:00+00:00,31590000,31.59M,,,,
_AAMC,2021-08-25T07:00:00+00:00,1040000,1.04M,,,,
_AAME,2021-08-25T07:00:00+00:00,4040000,4.04M,,,,
_AAN,2021-08-25T07:00:00+00:00,31970000,31.97M,,,,
_AAOI,2021-08-25T07:00:00+00:00,25780000,25.78M,,,,
_ABIO,2021-08-25T07:00:00+00:00,14350000,14.35M,,,,
_ABST,2021-08-25T07:00:00+00:00,37420000,37.42M,,,,
_ABTX,2021-08-25T07:00:00+00:00,18870000,18.87M,,,,
_ABVC,2021-08-25T07:00:00+00:00,1810000,1.81M,,,,
_AC,2021-08-25T07:00:00+00:00,3630000,3.63M,,,,
_ACBI,2021-08-25T07:00:00+00:00,19500000,19.50M,,,,
_ACEL,2021-08-25T07:00:00+00:00,59500000,59.50M,,,,
_ACER,2021-08-25T07:00:00+00:00,12120000,12.12M,,,,
_ACET,2021-08-25T07:00:00+00:00,28050000,28.05M,,,,
_ACEV,2021-08-25T07:00:00+00:00,11500000,11.50M,,,,
_ACHV,2021-08-25T07:00:00+00:00,9380000,9.38M,,,,
_ACIC,2021-08-25T07:00:00+00:00,37450000,37.45M,,,,
_ACIU,2021-08-25T07:00:00+00:00,28440000,28.44M,,,,
_ACNB,2021-08-25T07:00:00+00:00,8400000,8.40M,,,,
_ACOR,2021-08-25T07:00:00+00:00,9320000,9.32M,,,,
_ACRE,2021-08-25T07:00:00+00:00,45370000,45.37M,,,,
_ACRS,2021-08-25T07:00:00+00:00,49380000,49.38M,,,,
_ACTG,2021-08-25T07:00:00+00:00,47730000,47.73M,,,,
_ACU,2021-08-25T07:00:00+00:00,3110000,3.11M,,,,
_ACXP,2021-08-25T07:00:00+00:00,7750000,7.75M,,,,
_ACY,2021-08-25T07:00:00+00:00,1200000,1.20M,,,,
_ADCT,2021-08-25T07:00:00+00:00,37320000,37.32M,,,,
_ADES,2021-08-25T07:00:00+00:00,15050000,15.05M,,,,
_ADIL,2021-08-25T07:00:00+00:00,16360000,16.36M,,,,
_ADMS,2021-08-25T07:00:00+00:00,44530000,44.53M,,,,
