ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2021-11-08T07:00:00+00:00,29640000,29.64M,,,,
_AAIC,2021-11-08T07:00:00+00:00,31530000,31.53M,,,,
_AAMC,2021-11-08T07:00:00+00:00,970000,0.97M,,,,
_AAME,2021-11-08T07:00:00+00:00,4050000,4.05M,,,,
_AAN,2021-11-08T07:00:00+00:00,31450000,31.45M,,,,
_AAOI,2021-11-08T07:00:00+00:00,25160000,25.16M,,,,
_ABIO,2021-11-08T07:00:00+00:00,14350000,14.35M,,,,
_ABST,2021-11-08T07:00:00+00:00,34770000,34.77M,,,,
_ABUS,2021-11-08T07:00:00+00:00,57340000,57.34M,,,,
_ABVC,2021-11-08T07:00:00+00:00,1810000,1.81M,,,,
_AC,2021-11-08T07:00:00+00:00,3630000,3.63M,,,,
_ACBI,2021-11-08T07:00:00+00:00,18470000,18.47M,,,,
_ACEL,2021-11-08T07:00:00+00:00,59510000,59.51M,,,,
_ACER,2021-11-08T07:00:00+00:00,12120000,12.12M,,,,
_ACET,2021-11-08T07:00:00+00:00,27480000,27.48M,,,,
_ACEV,2021-11-08T07:00:00+00:00,17250000,17.25M,,,,
_ACHR,2021-11-08T07:00:00+00:00,26120000,26.12M,,,,
_ACHV,2021-11-08T07:00:00+00:00,9380000,9.38M,,,,
_ACIU,2021-11-08T07:00:00+00:00,27890000,27.89M,,,,
_ACNB,2021-11-08T07:00:00+00:00,8400000,8.40M,,,,
_ACOR,2021-11-08T07:00:00+00:00,9320000,9.32M,,,,
_ACRE,2021-11-08T07:00:00+00:00,45370000,45.37M,,,,
_ACRS,2021-11-08T07:00:00+00:00,51260000,51.26M,,,,
_ACST,2021-11-08T07:00:00+00:00,20630000,20.63M,,,,
_ACTG,2021-11-08T07:00:00+00:00,47630000,47.63M,,,,
_ACU,2021-11-08T07:00:00+00:00,3120000,3.12M,,,,
_ADES,2021-11-08T07:00:00+00:00,15050000,15.05M,,,,
_ADIL,2021-11-08T07:00:00+00:00,16329999,16.33M,,,,
_ADMS,2021-11-08T07:00:00+00:00,44890000,44.89M,,,,
_ADTN,2021-11-08T07:00:00+00:00,48090000,48.09M,,,,
_ADTX,2021-11-08T07:00:00+00:00,24690000,24.69M,,,,
_ADXN,2021-11-08T07:00:00+00:00,2340000,2.34M,,,,
_AE,2021-11-08T07:00:00+00:00,2260000,2.26M,,,,
_AEHL,2021-11-08T07:00:00+00:00,1560000,1.56M,,,,
_AEHR,2021-11-08T07:00:00+00:00,22110000,22.11M,,,,
