ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2022-01-24T07:00:00+00:00,29640000,29.6M,,,,
_AACI,2022-01-24T07:00:00+00:00,17410000,17.4M,,,,
_AADI,2022-01-24T07:00:00+00:00,12380000,12.4M,,,,
_AAIC,2022-01-24T07:00:00+00:00,30420000,30.4M,,,,
_AAME,2022-01-24T07:00:00+00:00,4019999,4.02M,,,,
_AAN,2022-01-24T07:00:00+00:00,30810000,30.8M,,,,
_AAOI,2022-01-24T07:00:00+00:00,25350000,25.4M,,,,
_AATC,2022-01-24T07:00:00+00:00,3120000,3.12M,,,,
_ABGI,2022-01-24T07:00:00+00:00,15060000,15.1M,,,,
_ABIO,2022-01-24T07:00:00+00:00,14300000,14.3M,,,,
_ABOS,2022-01-24T07:00:00+00:00,35910000,35.9M,,,,
_ABSI,2022-01-24T07:00:00+00:00,42480000,42.5M,,,,
_ABST,2022-01-24T07:00:00+00:00,40170000,40.2M,,,,
_ABVC,2022-01-24T07:00:00+00:00,5950000,5.95M,,,,
_ACBI,2022-01-24T07:00:00+00:00,17440000,17.4M,,,,
_ACCD,2022-01-24T07:00:00+00:00,56920000,56.9M,,,,
_ACEL,2022-01-24T07:00:00+00:00,59830000,59.8M,,,,
_ACER,2022-01-24T07:00:00+00:00,12110000,12.1M,,,,
_ACET,2022-01-24T07:00:00+00:00,12750000,12.8M,,,,
_ACEV,2022-01-24T07:00:00+00:00,18930000,18.9M,,,,
_ACHL,2022-01-24T07:00:00+00:00,21400000,21.4M,,,,
_ACHV,2022-01-24T07:00:00+00:00,8620000,8.62M,,,,
_ACII,2022-01-24T07:00:00+00:00,25880000,25.9M,,,,
_ACIU,2022-01-24T07:00:00+00:00,29890000,29.9M,,,,
_ACNB,2022-01-24T07:00:00+00:00,8380000,8.38M,,,,
_ACOR,2022-01-24T07:00:00+00:00,11020000,11M,,,,
_ACQR,2022-01-24T07:00:00+00:00,19400000,19.4M,,,,
_ACR,2022-01-24T07:00:00+00:00,9070000,9.07M,,,,
_ACRE,2022-01-24T07:00:00+00:00,43750000,43.8M,,,,
_ACRO,2022-01-24T07:00:00+00:00,34500000,34.5M,,,,
_ACRS,2022-01-24T07:00:00+00:00,51300000,51.3M,,,,
_ACST,2022-01-24T07:00:00+00:00,33200000,33.2M,,,,
_ACTG,2022-01-24T07:00:00+00:00,47470000,47.5M,,,,
_ACU,2022-01-24T07:00:00+00:00,3130000,3.13M,,,,
_ACXP,2022-01-24T07:00:00+00:00,7840000,7.84M,,,,
_ACY,2022-01-24T07:00:00+00:00,12460000,12.5M,,,,
_ADAG,2022-01-24T07:00:00+00:00,23070000,23.1M,,,,
