ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2022-03-01T07:00:00+00:00,29640000,29.6M,,,,
_AACI,2022-03-01T07:00:00+00:00,15160000,15.2M,,,,
_AADI,2022-03-01T07:00:00+00:00,13650000,13.6M,,,,
_AAIC,2022-03-01T07:00:00+00:00,30420000,30.4M,,,,
_AAME,2022-03-01T07:00:00+00:00,4019999,4.02M,,,,
_AAN,2022-03-01T07:00:00+00:00,30810000,30.8M,,,,
_AAOI,2022-03-01T07:00:00+00:00,25390000,25.4M,,,,
_AATC,2022-03-01T07:00:00+00:00,3120000,3.12M,,,,
_ABGI,2022-03-01T07:00:00+00:00,15060000,15.1M,,,,
_ABIO,2022-03-01T07:00:00+00:00,14300000,14.3M,,,,
_ABOS,2022-03-01T07:00:00+00:00,32200000,32.2M,,,,
_ABSI,2022-03-01T07:00:00+00:00,42470000,42.5M,,,,
_ABST,2022-03-01T07:00:00+00:00,37490000,37.5M,,,,
_ABVC,2022-03-01T07:00:00+00:00,5950000,5.95M,,,,
_AC,2022-03-01T07:00:00+00:00,3040000,3.04M,,,,
_ACBI,2022-03-01T07:00:00+00:00,19450000,19.4M,,,,
_ACCD,2022-03-01T07:00:00+00:00,64510000,64.5M,,,,
_ACEL,2022-03-01T07:00:00+00:00,59820000,59.8M,,,,
_ACER,2022-03-01T07:00:00+00:00,12110000,12.1M,,,,
_ACET,2022-03-01T07:00:00+00:00,12320000,12.3M,,,,
_ACEV,2022-03-01T07:00:00+00:00,22840000,22.8M,,,,
_ACHL,2022-03-01T07:00:00+00:00,7930000,7.93M,,,,
_ACHV,2022-03-01T07:00:00+00:00,8620000,8.62M,,,,
_ACII,2022-03-01T07:00:00+00:00,25880000,25.9M,,,,
_ACIU,2022-03-01T07:00:00+00:00,29890000,29.9M,,,,
_ACLX,2022-03-01T07:00:00+00:00,31030000,31M,,,,
_ACNB,2022-03-01T07:00:00+00:00,8380000,8.38M,,,,
_ACOR,2022-03-01T07:00:00+00:00,11020000,11M,,,,
_ACQR,2022-03-01T07:00:00+00:00,19400000,19.4M,,,,
_ACR,2022-03-01T07:00:00+00:00,9070000,9.07M,,,,
_ACRE,2022-03-01T07:00:00+00:00,43980000,44M,,,,
_ACRO,2022-03-01T07:00:00+00:00,26020000,26M,,,,
_ACRS,2022-03-01T07:00:00+00:00,53240000,53.2M,,,,
_ACST,2022-03-01T07:00:00+00:00,36710000,36.7M,,,,
_ACTG,2022-03-01T07:00:00+00:00,47470000,47.5M,,,,
_ACU,2022-03-01T07:00:00+00:00,3130000,3.13M,,,,
_ACXP,2022-03-01T07:00:00+00:00,7840000,7.84M,,,,
_ACY,2022-03-01T07:00:00+00:00,12460000,12.5M,,,,
_ADAG,2022-03-01T07:00:00+00:00,22750000,22.8M,,,,
_ADCT,2022-03-01T07:00:00+00:00,37320000,37.3M,,,,
_ADER,2022-03-01T07:00:00+00:00,27500000,27.5M,,,,
_ADES,2022-03-01T07:00:00+00:00,15040000,15M,,,,
_ADEX,2022-03-01T07:00:00+00:00,27610000,27.6M,,,,
_ADGI,2022-03-01T07:00:00+00:00,51730000,51.7M,,,,
_ADIL,2022-03-01T07:00:00+00:00,18380000,18.4M,,,,
_ADN,2022-03-01T07:00:00+00:00,26820000,26.8M,,,,
_ADOC,2022-03-01T07:00:00+00:00,7340000,7.34M,,,,
_ADSE,2022-03-01T07:00:00+00:00,15770000,15.8M,,,,
_ADTH,2022-03-01T07:00:00+00:00,20850000,20.8M,,,,
_ADTN,2022-03-01T07:00:00+00:00,48560000,48.6M,,,,
_ADXN,2022-03-01T07:00:00+00:00,3130000,3.13M,,,,
_AE,2022-03-01T07:00:00+00:00,2370000,2.37M,,,,
_AEHL,2022-03-01T07:00:00+00:00,1560000,1.56M,,,,
_AEHR,2022-03-01T07:00:00+00:00,24410000,24.4M,,,,
_AEMD,2022-03-01T07:00:00+00:00,15290000,15.3M,,,,
_AENZ,2022-03-01T07:00:00+00:00,42190000,42.2M,,,,
_AERC,2022-03-01T07:00:00+00:00,8400000,8.4M,,,,
_AERI,2022-03-01T07:00:00+00:00,45940000,45.9M,,,,
_AESE,2022-03-01T07:00:00+00:00,15990000,16M,,,,
_AEY,2022-03-01T07:00:00+00:00,9260000,9.26M,,,,
_AEYE,2022-03-01T07:00:00+00:00,5570000,5.57M,,,,
_AFBI,2022-03-01T07:00:00+00:00,5190000,5.19M,,,,
_AFCG,2022-03-01T07:00:00+00:00,15680000,15.7M,,,,
