_AESE,2022-11-03T07:00:00+00:00,17180000,17.18M,39120000,39.12M,0.0072,0.72%
_AEY,2022-11-03T07:00:00+00:00,8530000,8.53M,13190000,13.19M,0.0069,0.69%
_AEYE,2022-11-03T07:00:00+00:00,5830000,5.83M,11490000,11.49M,0.0108,1.08%
_AEZS,2022-11-03T07:00:00+00:00,4840000,4.84M,4860000,4.86M,0.022799999999999997,2.28%
_AFAC,2022-11-03T07:00:00+00:00,17250000,17.25M,21560000,21.56M,0.0001,0.01%
_AFB,2022-11-03T07:00:00+00:00,28740000,28.74M,28740000,28.74M,0.0009,0.09%
_AFBI,2022-11-03T07:00:00+00:00,4910000,4.91M,6590000,6.59M,0.0032,0.32%
_AFCG,2022-11-03T07:00:00+00:00,15770000,15.77M,19720000,19.72M,0.034,3.40%
_AFRI,2022-11-03T07:00:00+00:00,4120000,4.12M,15050000,15.05M,0.0268,2.68%
_AFT,2022-11-03T07:00:00+00:00,14460000,14.46M,14460000,14.46M,0.001,0.10%
_AFTR,2022-11-03T07:00:00+00:00,25000000,25.00M,31250000,31.25M,0.0005,0.05%
_AFYA,2022-11-03T07:00:00+00:00,36780000,36.78M,90480000,90.48M,0.0129,1.29%
_AGCB,2022-11-03T07:00:00+00:00,44470000,44.47M,57350000,57.35M,0.0013000000000000002,0.13%
_AGD,2022-11-03T07:00:00+00:00,12550000,12.55M,12550000,12.55M,0.0036,0.36%
_AGFS,2022-11-03T07:00:00+00:00,50990000,50.99M,52090000,52.09M,0.005200000000000001,0.52%
_AGFY,2022-11-03T07:00:00+00:00,2530000,2.53M,2660000,2.66M,0.2461,24.61%
_AGGR,2022-11-03T07:00:00+00:00,31000000,31.00M,38750000,38.75M,0.0001,0.01%
_AGIL,2022-11-03T07:00:00+00:00,35050000,35.05M,46040000,46.04M,0.0091,0.91%
_AGIO,2022-11-03T07:00:00+00:00,54080000,54.08M,54800000,54.80M,0.10980000000000001,10.98%
_AGLE,2022-11-03T07:00:00+00:00,59940000,59.94M,82210000,82.21M,0.0087,0.87%
_AGMH,2022-11-03T07:00:00+00:00,13650000,13.65M,21900000,21.90M,0.0033000000000000004,0.33%
_AGRI,2022-11-03T07:00:00+00:00,11020000,11.02M,16520000,16.52M,0.0368,3.68%
_AGS,2022-11-03T07:00:00+00:00,36550000,36.55M,37000000,37.00M,0.0173,1.73%
_AGX,2022-11-03T07:00:00+00:00,13180000,13.18M,14130000,14.13M,0.0212,2.12%
_AHPI,2022-11-03T07:00:00+00:00,3440000,3.44M,4010000,4.01M,0.0236,2.36%
_AHRN,2022-11-03T07:00:00+00:00,27500000,27.50M,37500000,37.50M,0.0001,0.01%
_AHT,2022-11-03T07:00:00+00:00,33980000,33.98M,34330000,34.33M,0.0576,5.76%
_AIF,2022-11-03T07:00:00+00:00,14460000,14.46M,14460000,14.46M,0.0016,0.16%
_AIH,2022-11-03T07:00:00+00:00,9880000,9.88M,22020000,22.02M,0.0034999999999999996,0.35%
_AIKI,2022-11-03T07:00:00+00:00,4810000,4.81M,5250000,5.25M,0.023,2.30%
_AIMD,2022-11-03T07:00:00+00:00,3710000,3.71M,9620000,9.62M,0.033,3.30%
_AINC,2022-11-03T07:00:00+00:00,1910000,1.91M,2910000,2.91M,0.0047,0.47%
_AIO,2022-11-03T07:00:00+00:00,34330000,34.33M,34340000,34.34M,0.0002,0.02%
_AIP,2022-11-03T07:00:00+00:00,17560000,17.56M,32259999,32.26M,0.028700000000000003,2.87%
_AIRG,2022-11-03T07:00:00+00:00,9530000,9.53M,10220000,10.22M,0.013500000000000002,1.35%
_AIRI,2022-11-03T07:00:00+00:00,2470000,2.47M,3220000,3.22M,0.0,0.00%
_AIRS,2022-11-03T07:00:00+00:00,40950000,40.95M,55640000,55.64M,0.0253,2.53%
_AIRT,2022-11-03T07:00:00+00:00,1460000,1.46M,2870000,2.87M,0.0029,0.29%
_AIU,2022-11-03T07:00:00+00:00,12010000,12.01M,14610000,14.61M,0.0069,0.69%
_AJX,2022-11-03T07:00:00+00:00,20590000,20.59M,22750000,22.75M,0.0037,0.37%
_AKIC,2022-11-03T07:00:00+00:00,18160000,18.16M,29410000,29.41M,0.0021,0.21%
_AKLI,2022-11-03T07:00:00+00:00,55930000,55.93M,85400000,85.40M,0.0018,0.18%
_AKTS,2022-11-03T07:00:00+00:00,54890000,54.89M,56550000,56.55M,0.0895,8.95%
_AKUS,2022-11-03T07:00:00+00:00,36520000,36.52M,36930000,36.93M,0.061900000000000004,6.19%
_AKYA,2022-11-03T07:00:00+00:00,33080000,33.08M,37610000,37.61M,0.0571,5.71%
_ALBO,2022-11-03T07:00:00+00:00,17160000,17.16M,19590000,19.59M,0.1023,10.23%
