ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2022-08-04T07:00:00+00:00,29860000,29.9M,,,,
_AACI,2022-08-04T07:00:00+00:00,15160000,15.2M,,,,
_AADI,2022-08-04T07:00:00+00:00,18100000,18.1M,,,,
_AAIC,2022-08-04T07:00:00+00:00,28160000,28.2M,,,,
_AAME,2022-08-04T07:00:00+00:00,4099999,4.1M,,,,
_AAN,2022-08-04T07:00:00+00:00,29810000,29.8M,,,,
_AAOI,2022-08-04T07:00:00+00:00,26360000,26.4M,,,,
_AAT,2022-08-04T07:00:00+00:00,59850000,59.8M,,,,
_AATC,2022-08-04T07:00:00+00:00,3120000,3.12M,,,,
_ABEO,2022-08-04T07:00:00+00:00,5270000,5.27M,,,,
_ABGI,2022-08-04T07:00:00+00:00,15060000,15.1M,,,,
_ABIO,2022-08-04T07:00:00+00:00,14300000,14.3M,,,,
_ABOS,2022-08-04T07:00:00+00:00,34130000,34.1M,,,,
_ABSI,2022-08-04T07:00:00+00:00,63300000,63.3M,,,,
_ABST,2022-08-04T07:00:00+00:00,34870000,34.9M,,,,
_ACAQ,2022-08-04T07:00:00+00:00,23000000,23M,,,,
_ACCD,2022-08-04T07:00:00+00:00,61610000,61.6M,,,,
_ACEL,2022-08-04T07:00:00+00:00,58740000,58.7M,,,,
_ACER,2022-08-04T07:00:00+00:00,10520000,10.5M,,,,
_ACET,2022-08-04T07:00:00+00:00,35620000,35.6M,,,,
_ACEV,2022-08-04T07:00:00+00:00,8050000,8.05M,,,,
_ACHL,2022-08-04T07:00:00+00:00,38750000,38.8M,,,,
_ACHV,2022-08-04T07:00:00+00:00,8240000,8.24M,,,,
_ACII,2022-08-04T07:00:00+00:00,34500000,34.5M,,,,
_ACIU,2022-08-04T07:00:00+00:00,40050000,40M,,,,
_ACLX,2022-08-04T07:00:00+00:00,20080000,20.1M,,,,
_ACMR,2022-08-04T07:00:00+00:00,44360000,44.4M,,,,
_ACNB,2022-08-04T07:00:00+00:00,8340000,8.34M,,,,
_ACON,2022-08-04T07:00:00+00:00,3710000,3.71M,,,,
_ACQR,2022-08-04T07:00:00+00:00,42030000,42M,,,,
_ACR,2022-08-04T07:00:00+00:00,8500000,8.5M,,,,
_ACRE,2022-08-04T07:00:00+00:00,44350000,44.4M,,,,
_ACRO,2022-08-04T07:00:00+00:00,26020000,26M,,,,
_ACRS,2022-08-04T07:00:00+00:00,43610000,43.6M,,,,
_ACTG,2022-08-04T07:00:00+00:00,43900000,43.9M,,,,
_ACU,2022-08-04T07:00:00+00:00,3080000,3.08M,,,,
_ACXP,2022-08-04T07:00:00+00:00,7870000,7.87M,,,,
_ADAG,2022-08-04T07:00:00+00:00,18590000,18.6M,,,,
_ADCT,2022-08-04T07:00:00+00:00,36600000,36.6M,,,,
_ADER,2022-08-04T07:00:00+00:00,27500000,27.5M,,,,
_ADES,2022-08-04T07:00:00+00:00,16040000,16M,,,,
_ADEX,2022-08-04T07:00:00+00:00,27630000,27.6M,,,,
_ADN,2022-08-04T07:00:00+00:00,25340000,25.3M,,,,
_ADOC,2022-08-04T07:00:00+00:00,1990000,1.99M,,,,
_ADSE,2022-08-04T07:00:00+00:00,20710000,20.7M,,,,
_ADTN,2022-08-04T07:00:00+00:00,44540000,44.5M,,,,
_ADXN,2022-08-04T07:00:00+00:00,2540000,2.54M,,,,
_AE,2022-08-04T07:00:00+00:00,2350000,2.35M,,,,
_AEAC,2022-08-04T07:00:00+00:00,23000000,23M,,,,
_AEHL,2022-08-04T07:00:00+00:00,4670000,4.67M,,,,
_AEHR,2022-08-04T07:00:00+00:00,24400000,24.4M,,,,
_AEMD,2022-08-04T07:00:00+00:00,15670000,15.7M,,,,
_AERC,2022-08-04T07:00:00+00:00,7310000,7.31M,,,,
_AERI,2022-08-04T07:00:00+00:00,42260000,42.3M,,,,
_AESE,2022-08-04T07:00:00+00:00,15560000,15.6M,,,,
_AEY,2022-08-04T07:00:00+00:00,9580000,9.58M,,,,
_AEYE,2022-08-04T07:00:00+00:00,5550000,5.55M,,,,
_AEZS,2022-08-04T07:00:00+00:00,4840000,4.84M,,,,
_AFAC,2022-08-04T07:00:00+00:00,17250000,17.2M,,,,
_AFBI,2022-08-04T07:00:00+00:00,4850000,4.85M,,,,
_AFIB,2022-08-04T07:00:00+00:00,26240000,26.2M,,,,
_AFCG,2022-08-04T07:00:00+00:00,15660000,15.7M,,,,
_AFRI,2022-08-04T07:00:00+00:00,4750000,4.75M,,,,
_AFTR,2022-08-04T07:00:00+00:00,23120000,23.1M,,,,
_AFYA,2022-08-04T07:00:00+00:00,32880000,32.9M,,,,
_AGCB,2022-08-04T07:00:00+00:00,33220000,33.2M,,,,
_AGFS,2022-08-04T07:00:00+00:00,51030000,51M,,,,
_AGFY,2022-08-04T07:00:00+00:00,21980000,22M,,,,
_AGGR,2022-08-04T07:00:00+00:00,31000000,31M,,,,
_AGIL,2022-08-04T07:00:00+00:00,37180000,37.2M,,,,
_AGIO,2022-08-04T07:00:00+00:00,54050000,54M,,,,
_AGMH,2022-08-04T07:00:00+00:00,13650000,13.6M,,,,
_AGRI,2022-08-04T07:00:00+00:00,10890000,10.9M,,,,
_AGRO,2022-08-04T07:00:00+00:00,60120000,60.1M,,,,
_AGS,2022-08-04T07:00:00+00:00,36510000,36.5M,,,,
_AGX,2022-08-04T07:00:00+00:00,13500000,13.5M,,,,
_AHPI,2022-08-04T07:00:00+00:00,3430000,3.43M,,,,
_AHG,2022-08-04T07:00:00+00:00,6980000,6.98M,,,,
_AHRN,2022-08-04T07:00:00+00:00,27500000,27.5M,,,,
_AHT,2022-08-04T07:00:00+00:00,33830000,33.8M,,,,
_AIH,2022-08-04T07:00:00+00:00,4059999,4.06M,,,,
_AIHS,2022-08-04T07:00:00+00:00,5140000,5.14M,,,,
_AIKI,2022-08-04T07:00:00+00:00,5030000,5.03M,,,,
_AINC,2022-08-04T07:00:00+00:00,1900000,1.9M,,,,
_AINV,2022-08-04T07:00:00+00:00,62930000,62.9M,,,,
_AIP,2022-08-04T07:00:00+00:00,16830000,16.8M,,,,
_AIRG,2022-08-04T07:00:00+00:00,9560000,9.56M,,,,
_AIRS,2022-08-04T07:00:00+00:00,40950000,41M,,,,
_AIRT,2022-08-04T07:00:00+00:00,1480000,1.48M,,,,
_AIU,2022-08-04T07:00:00+00:00,8630000,8.63M,,,,
_AJX,2022-08-04T07:00:00+00:00,21040000,21M,,,,
_AKIC,2022-08-04T07:00:00+00:00,18160000,18.2M,,,,
_AKRO,2022-08-04T07:00:00+00:00,29800000,29.8M,,,,
_AKTS,2022-08-04T07:00:00+00:00,53600000,53.6M,,,,
_AKTX,2022-08-04T07:00:00+00:00,35420000,35.4M,,,,
_AKUS,2022-08-04T07:00:00+00:00,34210000,34.2M,,,,
_AKYA,2022-08-04T07:00:00+00:00,32740000,32.7M,,,,
_ALBO,2022-08-04T07:00:00+00:00,17090000,17.1M,,,,
_ALCC,2022-08-04T07:00:00+00:00,48550000,48.6M,,,,
_ALCO,2022-08-04T07:00:00+00:00,4550000,4.55M,,,,
_ALDX,2022-08-04T07:00:00+00:00,47020000,47M,,,,
_ALF,2022-08-04T07:00:00+00:00,8470000,8.47M,,,,
_ALGS,2022-08-04T07:00:00+00:00,29940000,29.9M,,,,
_ALIM,2022-08-04T07:00:00+00:00,5620000,5.62M,,,,
_ALJJ,2022-08-04T07:00:00+00:00,19630000,19.6M,,,,
_ALKT,2022-08-04T07:00:00+00:00,54270000,54.3M,,,,
_ALLK,2022-08-04T07:00:00+00:00,51100000,51.1M,,,,
_ALLR,2022-08-04T07:00:00+00:00,7440000,7.44M,,,,
_ALLT,2022-08-04T07:00:00+00:00,35230000,35.2M,,,,
_ALOT,2022-08-04T07:00:00+00:00,6920000,6.92M,,,,
_ALPN,2022-08-04T07:00:00+00:00,27280000,27.3M,,,,
_ALR,2022-08-04T07:00:00+00:00,19010000,19M,,,,
_ALRS,2022-08-04T07:00:00+00:00,15000000,15M,,,,
_ALT,2022-08-04T07:00:00+00:00,40860000,40.9M,,,,
_ALTG,2022-08-04T07:00:00+00:00,25410000,25.4M,,,,
_ALTU,2022-08-04T07:00:00+00:00,29400000,29.4M,,,,
_ALVO,2022-08-04T07:00:00+00:00,3390000,3.39M,,,,
_ALVR,2022-08-04T07:00:00+00:00,33200000,33.2M,,,,
_ALXO,2022-08-04T07:00:00+00:00,25560000,25.6M,,,,
_AMAL,2022-08-04T07:00:00+00:00,27040000,27M,,,,
_AMAM,2022-08-04T07:00:00+00:00,5510000,5.51M,,,,
_AMAO,2022-08-04T07:00:00+00:00,4520000,4.52M,,,,
_AMBC,2022-08-04T07:00:00+00:00,44180000,44.2M,,,,
