ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2022-09-12T07:00:00+00:00,29860000,29.9M,,,,
_AACI,2022-09-12T07:00:00+00:00,15160000,15.2M,,,,
_AADI,2022-09-12T07:00:00+00:00,18170000,18.2M,,,,
_AAIC,2022-09-12T07:00:00+00:00,27560000,27.6M,,,,
_AAME,2022-09-12T07:00:00+00:00,4090000,4.09M,,,,
_AAN,2022-09-12T07:00:00+00:00,29810000,29.8M,,,,
_AAOI,2022-09-12T07:00:00+00:00,26300000,26.3M,,,,
_AAT,2022-09-12T07:00:00+00:00,59850000,59.8M,,,,
_AATC,2022-09-12T07:00:00+00:00,3120000,3.12M,,,,
_ABEO,2022-09-12T07:00:00+00:00,5330000,5.33M,,,,
_ABGI,2022-09-12T07:00:00+00:00,15060000,15.1M,,,,
_ABIO,2022-09-12T07:00:00+00:00,14300000,14.3M,,,,
_ABOS,2022-09-12T07:00:00+00:00,34130000,34.1M,,,,
_ABSI,2022-09-12T07:00:00+00:00,63290000,63.3M,,,,
_ABST,2022-09-12T07:00:00+00:00,50800000,50.8M,,,,
_ABVC,2022-09-12T07:00:00+00:00,19480000,19.5M,,,,
_ACAQ,2022-09-12T07:00:00+00:00,23000000,23M,,,,
_ACEL,2022-09-12T07:00:00+00:00,56270000,56.3M,,,,
_ACER,2022-09-12T07:00:00+00:00,13750000,13.8M,,,,
_ACET,2022-09-12T07:00:00+00:00,38240000,38.2M,,,,
_ACEV,2022-09-12T07:00:00+00:00,3790000,3.79M,,,,
_ACHL,2022-09-12T07:00:00+00:00,38750000,38.8M,,,,
_ACHV,2022-09-12T07:00:00+00:00,9640000,9.64M,,,,
_ACII,2022-09-12T07:00:00+00:00,34500000,34.5M,,,,
_ACIU,2022-09-12T07:00:00+00:00,40050000,40M,,,,
_ACLX,2022-09-12T07:00:00+00:00,24640000,24.6M,,,,
_ACMR,2022-09-12T07:00:00+00:00,44470000,44.5M,,,,
_ACNB,2022-09-12T07:00:00+00:00,8160000,8.16M,,,,
_ACNT,2022-09-12T07:00:00+00:00,8600000,8.6M,,,,
_ACON,2022-09-12T07:00:00+00:00,3710000,3.71M,,,,
_ACQR,2022-09-12T07:00:00+00:00,42030000,42M,,,,
_ACR,2022-09-12T07:00:00+00:00,8039999,8.04M,,,,
_ACRE,2022-09-12T07:00:00+00:00,52870000,52.9M,,,,
_ACRO,2022-09-12T07:00:00+00:00,34500000,34.5M,,,,
_ACRS,2022-09-12T07:00:00+00:00,59630000,59.6M,,,,
_ACTG,2022-09-12T07:00:00+00:00,36400000,36.4M,,,,
_ACU,2022-09-12T07:00:00+00:00,3080000,3.08M,,,,
_ACXP,2022-09-12T07:00:00+00:00,8970000,8.97M,,,,
_ADAG,2022-09-12T07:00:00+00:00,38510000,38.5M,,,,
_ADCT,2022-09-12T07:00:00+00:00,36600000,36.6M,,,,
_ADER,2022-09-12T07:00:00+00:00,27500000,27.5M,,,,
_ADES,2022-09-12T07:00:00+00:00,16200000,16.2M,,,,
_ADEX,2022-09-12T07:00:00+00:00,27630000,27.6M,,,,
_ADN,2022-09-12T07:00:00+00:00,24980000,25M,,,,
_ADOC,2022-09-12T07:00:00+00:00,2420000,2.42M,,,,
_ADSE,2022-09-12T07:00:00+00:00,20710000,20.7M,,,,
_ADXN,2022-09-12T07:00:00+00:00,6310000,6.31M,,,,
_AE,2022-09-12T07:00:00+00:00,2360000,2.36M,,,,
_AEAC,2022-09-12T07:00:00+00:00,23000000,23M,,,,
_AEHR,2022-09-12T07:00:00+00:00,24760000,24.8M,,,,
_AERC,2022-09-12T07:00:00+00:00,5780000,5.78M,,,,
_AERI,2022-09-12T07:00:00+00:00,43020000,43M,,,,
_AESE,2022-09-12T07:00:00+00:00,15530000,15.5M,,,,
_AEY,2022-09-12T07:00:00+00:00,7650000,7.65M,,,,
_AEYE,2022-09-12T07:00:00+00:00,5470000,5.47M,,,,
_AEZS,2022-09-12T07:00:00+00:00,4840000,4.84M,,,,
_AFAC,2022-09-12T07:00:00+00:00,17250000,17.2M,,,,
_AFBI,2022-09-12T07:00:00+00:00,4910000,4.91M,,,,
_AFCG,2022-09-12T07:00:00+00:00,15770000,15.8M,,,,
_AFIB,2022-09-12T07:00:00+00:00,26040000,26M,,,,
_AFRI,2022-09-12T07:00:00+00:00,4750000,4.75M,,,,
_AFTR,2022-09-12T07:00:00+00:00,25000000,25M,,,,
_AFYA,2022-09-12T07:00:00+00:00,38720000,38.7M,,,,
_AGCB,2022-09-12T07:00:00+00:00,44470000,44.5M,,,,
_AGFS,2022-09-12T07:00:00+00:00,50880000,50.9M,,,,
_AGGR,2022-09-12T07:00:00+00:00,31000000,31M,,,,
_AGIL,2022-09-12T07:00:00+00:00,34900000,34.9M,,,,
_AGIO,2022-09-12T07:00:00+00:00,54080000,54.1M,,,,
_AGMH,2022-09-12T07:00:00+00:00,13650000,13.6M,,,,
_AGRI,2022-09-12T07:00:00+00:00,10990000,11M,,,,
_AGRO,2022-09-12T07:00:00+00:00,61460000,61.5M,,,,
_AGS,2022-09-12T07:00:00+00:00,36550000,36.6M,,,,
_AGX,2022-09-12T07:00:00+00:00,13500000,13.5M,,,,
_AHPI,2022-09-12T07:00:00+00:00,3430000,3.43M,,,,
_AHRN,2022-09-12T07:00:00+00:00,27500000,27.5M,,,,
_AHT,2022-09-12T07:00:00+00:00,33850000,33.8M,,,,
_AIH,2022-09-12T07:00:00+00:00,9880000,9.88M,,,,
_AIKI,2022-09-12T07:00:00+00:00,5020000,5.02M,,,,
_AIMD,2022-09-12T07:00:00+00:00,3710000,3.71M,,,,
_AINC,2022-09-12T07:00:00+00:00,1910000,1.91M,,,,
_AIP,2022-09-12T07:00:00+00:00,17570000,17.6M,,,,
_AIRG,2022-09-12T07:00:00+00:00,9570000,9.57M,,,,
_AIRS,2022-09-12T07:00:00+00:00,40950000,41M,,,,
_AIRT,2022-09-12T07:00:00+00:00,1480000,1.48M,,,,
_AIU,2022-09-12T07:00:00+00:00,12010000,12M,,,,
_AJX,2022-09-12T07:00:00+00:00,20590000,20.6M,,,,
_AKIC,2022-09-12T07:00:00+00:00,18160000,18.2M,,,,
_AKRO,2022-09-12T07:00:00+00:00,29820000,29.8M,,,,
_AKTS,2022-09-12T07:00:00+00:00,53600000,53.6M,,,,
_AKTX,2022-09-12T07:00:00+00:00,35420000,35.4M,,,,
_AKUS,2022-09-12T07:00:00+00:00,17330000,17.3M,,,,
_AKYA,2022-09-12T07:00:00+00:00,33040000,33M,,,,
_ALBO,2022-09-12T07:00:00+00:00,17130000,17.1M,,,,
_ALCC,2022-09-12T07:00:00+00:00,48550000,48.6M,,,,
_ALCO,2022-09-12T07:00:00+00:00,4580000,4.58M,,,,
_ALDX,2022-09-12T07:00:00+00:00,45700000,45.7M,,,,
_ALF,2022-09-12T07:00:00+00:00,8470000,8.47M,,,,
_ALGS,2022-09-12T07:00:00+00:00,33150000,33.2M,,,,
_ALIM,2022-09-12T07:00:00+00:00,5610000,5.61M,,,,
_ALJJ,2022-09-12T07:00:00+00:00,15880000,15.9M,,,,
_ALKT,2022-09-12T07:00:00+00:00,54840000,54.8M,,,,
_ALLK,2022-09-12T07:00:00+00:00,51160000,51.2M,,,,
_ALLR,2022-09-12T07:00:00+00:00,8100000,8.1M,,,,
_ALLT,2022-09-12T07:00:00+00:00,35000000,35M,,,,
_ALOT,2022-09-12T07:00:00+00:00,6920000,6.92M,,,,
_ALPN,2022-09-12T07:00:00+00:00,27270000,27.3M,,,,
_ALR,2022-09-12T07:00:00+00:00,19080000,19.1M,,,,
_ALRS,2022-09-12T07:00:00+00:00,14950000,15M,,,,
_ALT,2022-09-12T07:00:00+00:00,46690000,46.7M,,,,
_ALTG,2022-09-12T07:00:00+00:00,24940000,24.9M,,,,
_ALTU,2022-09-12T07:00:00+00:00,4850000,4.85M,,,,
_ALVO,2022-09-12T07:00:00+00:00,52440000,52.4M,,,,
_ALVR,2022-09-12T07:00:00+00:00,44460000,44.5M,,,,
_ALXO,2022-09-12T07:00:00+00:00,30000000,30M,,,,
_ALYA,2022-09-12T07:00:00+00:00,43460000,43.5M,,,,
_ALZN,2022-09-12T07:00:00+00:00,47250000,47.2M,,,,
_AMAL,2022-09-12T07:00:00+00:00,26730000,26.7M,,,,
_AMAM,2022-09-12T07:00:00+00:00,5510000,5.51M,,,,
_AMAO,2022-09-12T07:00:00+00:00,1550000,1.55M,,,,
_AMBC,2022-09-12T07:00:00+00:00,44110000,44.1M,,,,
_AMCX,2022-09-12T07:00:00+00:00,27580000,27.6M,,,,
_AMK,2022-09-12T07:00:00+00:00,21630000,21.6M,,,,
_AMLX,2022-09-12T07:00:00+00:00,40880000,40.9M,,,,
_AMNB,2022-09-12T07:00:00+00:00,10160000,10.2M,,,,
_AMOT,2022-09-12T07:00:00+00:00,13340000,13.3M,,,,
_AMPG,2022-09-12T07:00:00+00:00,6470000,6.47M,,,,
_AMPH,2022-09-12T07:00:00+00:00,38110000,38.1M,,,,
_AMPL,2022-09-12T07:00:00+00:00,62740000,62.7M,,,,
_AMPY,2022-09-12T07:00:00+00:00,38050000,38M,,,,
_AMRK,2022-09-12T07:00:00+00:00,17080000,17.1M,,,,
_AMS,2022-09-12T07:00:00+00:00,3770000,3.77M,,,,
_AMSC,2022-09-12T07:00:00+00:00,27560000,27.6M,,,,
_AMTB,2022-09-12T07:00:00+00:00,22550000,22.6M,,,,
_AMTI,2022-09-12T07:00:00+00:00,30000000,30M,,,,
_AMTX,2022-09-12T07:00:00+00:00,32310000,32.3M,,,,
_AMYT,2022-09-12T07:00:00+00:00,29620000,29.6M,,,,
_ANAB,2022-09-12T07:00:00+00:00,28140000,28.1M,,,,
_ANDE,2022-09-12T07:00:00+00:00,31970000,32M,,,,
_ANEB,2022-09-12T07:00:00+00:00,5710000,5.71M,,,,
_ANF,2022-09-12T07:00:00+00:00,47210000,47.2M,,,,
_ANGH,2022-09-12T07:00:00+00:00,13020000,13M,,,,
_ANGN,2022-09-12T07:00:00+00:00,20240000,20.2M,,,,
_ANGO,2022-09-12T07:00:00+00:00,37060000,37.1M,,,,
_ANIK,2022-09-12T07:00:00+00:00,14320000,14.3M,,,,
_ANIP,2022-09-12T07:00:00+00:00,12930000,12.9M,,,,
_ANIX,2022-09-12T07:00:00+00:00,28820000,28.8M,,,,
_ANNX,2022-09-12T07:00:00+00:00,21730000,21.7M,,,,
_ANTX,2022-09-12T07:00:00+00:00,17460000,17.5M,,,,
_ANVS,2022-09-12T07:00:00+00:00,5310000,5.31M,,,,
_AOGO,2022-09-12T07:00:00+00:00,9730000,9.73M,,,,
_AOMR,2022-09-12T07:00:00+00:00,24070000,24.1M,,,,
_AORT,2022-09-12T07:00:00+00:00,37730000,37.7M,,,,
_AOSL,2022-09-12T07:00:00+00:00,22120000,22.1M,,,,
_AOUT,2022-09-12T07:00:00+00:00,12870000,12.9M,,,,
_AP,2022-09-12T07:00:00+00:00,12920000,12.9M,,,,
_APAC,2022-09-12T07:00:00+00:00,20000000,20M,,,,
_APCA,2022-09-12T07:00:00+00:00,17250000,17.2M,,,,
_APDN,2022-09-12T07:00:00+00:00,7230000,7.23M,,,,
_APEI,2022-09-12T07:00:00+00:00,18420000,18.4M,,,,
_APEN,2022-09-12T07:00:00+00:00,37410000,37.4M,,,,
_APGN,2022-09-12T07:00:00+00:00,19750000,19.8M,,,,
_APLD,2022-09-12T07:00:00+00:00,57260000,57.3M,,,,
_APLT,2022-09-12T07:00:00+00:00,19190000,19.2M,,,,
_APM,2022-09-12T07:00:00+00:00,9120000,9.12M,,,,
_APN,2022-09-12T07:00:00+00:00,17250000,17.2M,,,,
_APRN,2022-09-12T07:00:00+00:00,9560000,9.56M,,,,
_APT,2022-09-12T07:00:00+00:00,11420000,11.4M,,,,
_APVO,2022-09-12T07:00:00+00:00,4990000,4.99M,,,,
_APWC,2022-09-12T07:00:00+00:00,3930000,3.93M,,,,
_APXI,2022-09-12T07:00:00+00:00,17250000,17.2M,,,,
_APYX,2022-09-12T07:00:00+00:00,30090000,30.1M,,,,
_AQST,2022-09-12T07:00:00+00:00,39830000,39.8M,,,,
_ARBE,2022-09-12T07:00:00+00:00,45380000,45.4M,,,,
_ARBK,2022-09-12T07:00:00+00:00,47770000,47.8M,,,,
_ARC,2022-09-12T07:00:00+00:00,36310000,36.3M,,,,
_ARCE,2022-09-12T07:00:00+00:00,27890000,27.9M,,,,
_ARCK,2022-09-12T07:00:00+00:00,15700000,15.7M,,,,
_ARCT,2022-09-12T07:00:00+00:00,22900000,22.9M,,,,
_ARDS,2022-09-12T07:00:00+00:00,14490000,14.5M,,,,
_AREC,2022-09-12T07:00:00+00:00,48810000,48.8M,,,,
_AREN,2022-09-12T07:00:00+00:00,13380000,13.4M,,,,
_ARGO,2022-09-12T07:00:00+00:00,33020000,33M,,,,
_ARHS,2022-09-12T07:00:00+00:00,50800000,50.8M,,,,
_ARIS,2022-09-12T07:00:00+00:00,24540000,24.5M,,,,
_ARKR,2022-09-12T07:00:00+00:00,1880000,1.88M,,,,
_ARL,2022-09-12T07:00:00+00:00,1460000,1.46M,,,,
_ARMP,2022-09-12T07:00:00+00:00,10810000,10.8M,,,,
_AROW,2022-09-12T07:00:00+00:00,15450000,15.4M,,,,
_ARQQ,2022-09-12T07:00:00+00:00,24730000,24.7M,,,,
_ARQT,2022-09-12T07:00:00+00:00,32900000,32.9M,,,,
_ARRW,2022-09-12T07:00:00+00:00,21680000,21.7M,,,,
_ARTE,2022-09-12T07:00:00+00:00,20120000,20.1M,,,,
_ARTL,2022-09-12T07:00:00+00:00,2760000,2.76M,,,,
_ARTW,2022-09-12T07:00:00+00:00,2069999,2.07M,,,,
_ARYD,2022-09-12T07:00:00+00:00,14950000,15M,,,,
_ASA,2022-09-12T07:00:00+00:00,19230000,19.2M,,,,
_ASC,2022-09-12T07:00:00+00:00,33479999,33.5M,,,,
_ASIX,2022-09-12T07:00:00+00:00,27320000,27.3M,,,,
_ASLE,2022-09-12T07:00:00+00:00,39890000,39.9M,,,,
_ASMB,2022-09-12T07:00:00+00:00,47700000,47.7M,,,,
_ASNS,2022-09-12T07:00:00+00:00,17310000,17.3M,,,,
_ASPN,2022-09-12T07:00:00+00:00,25810000,25.8M,,,,
_ASPS,2022-09-12T07:00:00+00:00,9350000,9.35M,,,,
_ASRT,2022-09-12T07:00:00+00:00,44510000,44.5M,,,,
_ASRV,2022-09-12T07:00:00+00:00,15440000,15.4M,,,,
_ASTE,2022-09-12T07:00:00+00:00,22540000,22.5M,,,,
_ASTI,2022-09-12T07:00:00+00:00,20020000,20M,,,,
