ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2022-07-05T07:00:00+00:00,29860000,29.9M,,,,
_AACI,2022-07-05T07:00:00+00:00,15160000,15.2M,,,,
_AADI,2022-07-05T07:00:00+00:00,18100000,18.1M,,,,
_AAIC,2022-07-05T07:00:00+00:00,28220000,28.2M,,,,
_AAME,2022-07-05T07:00:00+00:00,4099999,4.1M,,,,
_AAN,2022-07-05T07:00:00+00:00,29740000,29.7M,,,,
_AAOI,2022-07-05T07:00:00+00:00,26420000,26.4M,,,,
_AAT,2022-07-05T07:00:00+00:00,59850000,59.8M,,,,
_AATC,2022-07-05T07:00:00+00:00,3120000,3.12M,,,,
_ABGI,2022-07-05T07:00:00+00:00,15060000,15.1M,,,,
_ABIO,2022-07-05T07:00:00+00:00,14300000,14.3M,,,,
_ABOS,2022-07-05T07:00:00+00:00,34130000,34.1M,,,,
_ABSI,2022-07-05T07:00:00+00:00,63300000,63.3M,,,,
_ABST,2022-07-05T07:00:00+00:00,37390000,37.4M,,,,
_ABTX,2022-07-05T07:00:00+00:00,19010000,19M,,,,
_ABVC,2022-07-05T07:00:00+00:00,18340000,18.3M,,,,
_AC,2022-07-05T07:00:00+00:00,3030000,3.03M,,,,
_ACAQ,2022-07-05T07:00:00+00:00,23000000,23M,,,,
_ACCD,2022-07-05T07:00:00+00:00,64500000,64.5M,,,,
_ACEL,2022-07-05T07:00:00+00:00,59270000,59.3M,,,,
_ACER,2022-07-05T07:00:00+00:00,9650000,9.65M,,,,
_ACET,2022-07-05T07:00:00+00:00,35610000,35.6M,,,,
_ACEV,2022-07-05T07:00:00+00:00,8050000,8.05M,,,,
_ACHL,2022-07-05T07:00:00+00:00,38610000,38.6M,,,,
_ACHV,2022-07-05T07:00:00+00:00,8240000,8.24M,,,,
_ACII,2022-07-05T07:00:00+00:00,34500000,34.5M,,,,
_ACIU,2022-07-05T07:00:00+00:00,40050000,40M,,,,
_ACLX,2022-07-05T07:00:00+00:00,26610000,26.6M,,,,
_ACMR,2022-07-05T07:00:00+00:00,44360000,44.4M,,,,
_ACNB,2022-07-05T07:00:00+00:00,8350000,8.35M,,,,
_ACQR,2022-07-05T07:00:00+00:00,42030000,42M,,,,
_ACR,2022-07-05T07:00:00+00:00,8500000,8.5M,,,,
_ACRE,2022-07-05T07:00:00+00:00,44350000,44.4M,,,,
_ACRO,2022-07-05T07:00:00+00:00,26020000,26M,,,,
_ACRS,2022-07-05T07:00:00+00:00,59410000,59.4M,,,,
_ACTG,2022-07-05T07:00:00+00:00,43890000,43.9M,,,,
_ACU,2022-07-05T07:00:00+00:00,3080000,3.08M,,,,
_ACXP,2022-07-05T07:00:00+00:00,7870000,7.87M,,,,
_ADAG,2022-07-05T07:00:00+00:00,17580000,17.6M,,,,
_ADCT,2022-07-05T07:00:00+00:00,36600000,36.6M,,,,
_ADER,2022-07-05T07:00:00+00:00,27500000,27.5M,,,,
_ADES,2022-07-05T07:00:00+00:00,16020000,16M,,,,
_ADEX,2022-07-05T07:00:00+00:00,27630000,27.6M,,,,
_ADIL,2022-07-05T07:00:00+00:00,20620000,20.6M,,,,
_ADN,2022-07-05T07:00:00+00:00,25520000,25.5M,,,,
_ADOC,2022-07-05T07:00:00+00:00,1990000,1.99M,,,,
_ADSE,2022-07-05T07:00:00+00:00,15770000,15.8M,,,,
_ADTN,2022-07-05T07:00:00+00:00,48520000,48.5M,,,,
_ADXN,2022-07-05T07:00:00+00:00,1990000,1.99M,,,,
_AE,2022-07-05T07:00:00+00:00,2350000,2.35M,,,,
_AEAC,2022-07-05T07:00:00+00:00,23000000,23M,,,,
_AEHL,2022-07-05T07:00:00+00:00,4660000,4.66M,,,,
_AEHR,2022-07-05T07:00:00+00:00,24480000,24.5M,,,,
_AEMD,2022-07-05T07:00:00+00:00,15300000,15.3M,,,,
_AERC,2022-07-05T07:00:00+00:00,4059999,4.06M,,,,
_AERI,2022-07-05T07:00:00+00:00,40630000,40.6M,,,,
_AESE,2022-07-05T07:00:00+00:00,15560000,15.6M,,,,
_AEY,2022-07-05T07:00:00+00:00,9550000,9.55M,,,,
_AEYE,2022-07-05T07:00:00+00:00,5560000,5.56M,,,,
_AFAC,2022-07-05T07:00:00+00:00,17250000,17.2M,,,,
_AFBI,2022-07-05T07:00:00+00:00,4900000,4.9M,,,,
_AFCG,2022-07-05T07:00:00+00:00,15660000,15.7M,,,,
_AFTR,2022-07-05T07:00:00+00:00,23120000,23.1M,,,,
_AFYA,2022-07-05T07:00:00+00:00,32880000,32.9M,,,,
_AGCB,2022-07-05T07:00:00+00:00,44470000,44.5M,,,,
_AGFS,2022-07-05T07:00:00+00:00,50730000,50.7M,,,,
_AGFY,2022-07-05T07:00:00+00:00,22000000,22M,,,,
_AGGR,2022-07-05T07:00:00+00:00,31000000,31M,,,,
_AGIL,2022-07-05T07:00:00+00:00,37100000,37.1M,,,,
_AGIO,2022-07-05T07:00:00+00:00,54050000,54M,,,,
_AGMH,2022-07-05T07:00:00+00:00,13650000,13.6M,,,,
_AGRI,2022-07-05T07:00:00+00:00,12430000,12.4M,,,,
_AGRO,2022-07-05T07:00:00+00:00,61960000,62M,,,,
_AGS,2022-07-05T07:00:00+00:00,36510000,36.5M,,,,
_AGX,2022-07-05T07:00:00+00:00,13500000,13.5M,,,,
_AHG,2022-07-05T07:00:00+00:00,6980000,6.98M,,,,
_AHPI,2022-07-05T07:00:00+00:00,3430000,3.43M,,,,
_AHRN,2022-07-05T07:00:00+00:00,27500000,27.5M,,,,
_AHT,2022-07-05T07:00:00+00:00,33820000,33.8M,,,,
_AIH,2022-07-05T07:00:00+00:00,4560000,4.56M,,,,
_AIKI,2022-07-05T07:00:00+00:00,5030000,5.03M,,,,
_AINC,2022-07-05T07:00:00+00:00,1900000,1.9M,,,,
_AINV,2022-07-05T07:00:00+00:00,63130000,63.1M,,,,
_AIP,2022-07-05T07:00:00+00:00,15830000,15.8M,,,,
_AIRG,2022-07-05T07:00:00+00:00,9560000,9.56M,,,,
_AIRS,2022-07-05T07:00:00+00:00,40950000,41M,,,,
_AIRT,2022-07-05T07:00:00+00:00,1520000,1.52M,,,,
_AJX,2022-07-05T07:00:00+00:00,21040000,21M,,,,
_AKIC,2022-07-05T07:00:00+00:00,18160000,18.2M,,,,
_AKRO,2022-07-05T07:00:00+00:00,32330000,32.3M,,,,
_AKTS,2022-07-05T07:00:00+00:00,53600000,53.6M,,,,
_AKUS,2022-07-05T07:00:00+00:00,34210000,34.2M,,,,
_AKYA,2022-07-05T07:00:00+00:00,32740000,32.7M,,,,
_ALBO,2022-07-05T07:00:00+00:00,17090000,17.1M,,,,
_ALCC,2022-07-05T07:00:00+00:00,48550000,48.6M,,,,
_ALCO,2022-07-05T07:00:00+00:00,4560000,4.56M,,,,
_ALDX,2022-07-05T07:00:00+00:00,47360000,47.4M,,,,
_ALF,2022-07-05T07:00:00+00:00,8390000,8.39M,,,,
_ALGS,2022-07-05T07:00:00+00:00,33030000,33M,,,,
_ALIM,2022-07-05T07:00:00+00:00,5370000,5.37M,,,,
_ALJJ,2022-07-05T07:00:00+00:00,19620000,19.6M,,,,
_ALKT,2022-07-05T07:00:00+00:00,54270000,54.3M,,,,
_ALLK,2022-07-05T07:00:00+00:00,51100000,51.1M,,,,
_ALLR,2022-07-05T07:00:00+00:00,7440000,7.44M,,,,
_ALLT,2022-07-05T07:00:00+00:00,35230000,35.2M,,,,
_ALOT,2022-07-05T07:00:00+00:00,6920000,6.92M,,,,
_ALPN,2022-07-05T07:00:00+00:00,27280000,27.3M,,,,
_ALR,2022-07-05T07:00:00+00:00,19020000,19M,,,,
_ALRS,2022-07-05T07:00:00+00:00,15000000,15M,,,,
_ALT,2022-07-05T07:00:00+00:00,40860000,40.9M,,,,
_ALTG,2022-07-05T07:00:00+00:00,25410000,25.4M,,,,
_ALTU,2022-07-05T07:00:00+00:00,30000000,30M,,,,
_ALVR,2022-07-05T07:00:00+00:00,33280000,33.3M,,,,
_ALXO,2022-07-05T07:00:00+00:00,25400000,25.4M,,,,
_AMAL,2022-07-05T07:00:00+00:00,27040000,27M,,,,
_AMAM,2022-07-05T07:00:00+00:00,5510000,5.51M,,,,
_AMAO,2022-07-05T07:00:00+00:00,4520000,4.52M,,,,
_AMBC,2022-07-05T07:00:00+00:00,44180000,44.2M,,,,
_AMCX,2022-07-05T07:00:00+00:00,27580000,27.6M,,,,
_AMK,2022-07-05T07:00:00+00:00,21380000,21.4M,,,,
_AMLX,2022-07-05T07:00:00+00:00,40880000,40.9M,,,,
_AMNB,2022-07-05T07:00:00+00:00,10200000,10.2M,,,,
_AMOT,2022-07-05T07:00:00+00:00,12870000,12.9M,,,,
_AMPG,2022-07-05T07:00:00+00:00,6420000,6.42M,,,,
_AMPH,2022-07-05T07:00:00+00:00,37920000,37.9M,,,,
_AMPL,2022-07-05T07:00:00+00:00,56250000,56.2M,,,,
_AMPY,2022-07-05T07:00:00+00:00,37940000,37.9M,,,,
_AMRK,2022-07-05T07:00:00+00:00,17540000,17.5M,,,,
_AMS,2022-07-05T07:00:00+00:00,3740000,3.74M,,,,
_AMSC,2022-07-05T07:00:00+00:00,27500000,27.5M,,,,
_AMTB,2022-07-05T07:00:00+00:00,16810000,16.8M,,,,
_AMTI,2022-07-05T07:00:00+00:00,29750000,29.8M,,,,
_AMTX,2022-07-05T07:00:00+00:00,32330000,32.3M,,,,
_AMYT,2022-07-05T07:00:00+00:00,30410000,30.4M,,,,
_ANAB,2022-07-05T07:00:00+00:00,17950000,18M,,,,
_ANDE,2022-07-05T07:00:00+00:00,31860000,31.9M,,,,
_ANEB,2022-07-05T07:00:00+00:00,5710000,5.71M,,,,
_ANF,2022-07-05T07:00:00+00:00,49180000,49.2M,,,,
_ANGH,2022-07-05T07:00:00+00:00,20980000,21M,,,,
_ANGN,2022-07-05T07:00:00+00:00,20090000,20.1M,,,,
_ANGO,2022-07-05T07:00:00+00:00,37010000,37M,,,,
_ANIK,2022-07-05T07:00:00+00:00,14270000,14.3M,,,,
_ANIP,2022-07-05T07:00:00+00:00,12760000,12.8M,,,,
_ANIX,2022-07-05T07:00:00+00:00,28870000,28.9M,,,,
_ANNX,2022-07-05T07:00:00+00:00,37440000,37.4M,,,,
_ANTX,2022-07-05T07:00:00+00:00,730000,730K,,,,
_ANVS,2022-07-05T07:00:00+00:00,5640000,5.64M,,,,
_AOGO,2022-07-05T07:00:00+00:00,9730000,9.73M,,,,
_AOMR,2022-07-05T07:00:00+00:00,18930000,18.9M,,,,
_AORT,2022-07-05T07:00:00+00:00,37930000,37.9M,,,,
_AOSL,2022-07-05T07:00:00+00:00,21820000,21.8M,,,,
_AOUT,2022-07-05T07:00:00+00:00,12730000,12.7M,,,,
_AP,2022-07-05T07:00:00+00:00,12710000,12.7M,,,,
_APAC,2022-07-05T07:00:00+00:00,20000000,20M,,,,
_APCA,2022-07-05T07:00:00+00:00,8520000,8.52M,,,,
_APEI,2022-07-05T07:00:00+00:00,18420000,18.4M,,,,
_APEN,2022-07-05T07:00:00+00:00,37000000,37M,,,,
_API,2022-07-05T07:00:00+00:00,63860000,63.9M,,,,
_APM,2022-07-05T07:00:00+00:00,9120000,9.12M,,,,
_APN,2022-07-05T07:00:00+00:00,15800000,15.8M,,,,
_APOG,2022-07-05T07:00:00+00:00,21800000,21.8M,,,,
_APRN,2022-07-05T07:00:00+00:00,17480000,17.5M,,,,
_APT,2022-07-05T07:00:00+00:00,11640000,11.6M,,,,
_APVO,2022-07-05T07:00:00+00:00,4770000,4.77M,,,,
_APWC,2022-07-05T07:00:00+00:00,3930000,3.93M,,,,
_APXI,2022-07-05T07:00:00+00:00,17250000,17.2M,,,,
_APYX,2022-07-05T07:00:00+00:00,30000000,30M,,,,
