ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2021-12-20T07:00:00+00:00,29640000,29.64M,,,,
_AADI,2021-12-20T07:00:00+00:00,12380000,12.38M,,,,
_AAIC,2021-12-20T07:00:00+00:00,30530000,30.53M,,,,
_AAME,2021-12-20T07:00:00+00:00,4019999,4.02M,,,,
_AAN,2021-12-20T07:00:00+00:00,30810000,30.81M,,,,
_AAOI,2021-12-20T07:00:00+00:00,25350000,25.35M,,,,
_ABIO,2021-12-20T07:00:00+00:00,14300000,14.30M,,,,
_ABST,2021-12-20T07:00:00+00:00,49510000,49.51M,,,,
_ABVC,2021-12-20T07:00:00+00:00,5950000,5.95M,,,,
_ACBI,2021-12-20T07:00:00+00:00,18470000,18.47M,,,,
_ACCD,2021-12-20T07:00:00+00:00,64220000,64.22M,,,,
_ACEL,2021-12-20T07:00:00+00:00,59800000,59.80M,,,,
_ACER,2021-12-20T07:00:00+00:00,12120000,12.12M,,,,
_ACET,2021-12-20T07:00:00+00:00,27590000,27.59M,,,,
_ACEV,2021-12-20T07:00:00+00:00,17250000,17.25M,,,,
_ACHV,2021-12-20T07:00:00+00:00,9420000,9.42M,,,,
_ACIU,2021-12-20T07:00:00+00:00,29890000,29.89M,,,,
_ACNB,2021-12-20T07:00:00+00:00,8369999,8.37M,,,,
_ACOR,2021-12-20T07:00:00+00:00,11020000,11.02M,,,,
_ACRE,2021-12-20T07:00:00+00:00,43850000,43.85M,,,,
_ACRS,2021-12-20T07:00:00+00:00,51350000,51.35M,,,,
_ACST,2021-12-20T07:00:00+00:00,20630000,20.63M,,,,
_ACTG,2021-12-20T07:00:00+00:00,47500000,47.50M,,,,
_ACU,2021-12-20T07:00:00+00:00,3130000,3.13M,,,,
_ACXP,2021-12-20T07:00:00+00:00,7840000,7.84M,,,,
_ADCT,2021-12-20T07:00:00+00:00,37320000,37.32M,,,,
_ADES,2021-12-20T07:00:00+00:00,15050000,15.05M,,,,
_ADGI,2021-12-20T07:00:00+00:00,51730000,51.73M,,,,
_ADIL,2021-12-20T07:00:00+00:00,16770000,16.77M,,,,
_ADTN,2021-12-20T07:00:00+00:00,48200000,48.20M,,,,
_ADXN,2021-12-20T07:00:00+00:00,2340000,2.34M,,,,
_AE,2021-12-20T07:00:00+00:00,2370000,2.37M,,,,
_AEHL,2021-12-20T07:00:00+00:00,1560000,1.56M,,,,
_AEHR,2021-12-20T07:00:00+00:00,22110000,22.11M,,,,
_AEMD,2021-12-20T07:00:00+00:00,15270000,15.27M,,,,
_AERI,2021-12-20T07:00:00+00:00,46140000,46.14M,,,,
_AESE,2021-12-20T07:00:00+00:00,12290000,12.29M,,,,
_AEY,2021-12-20T07:00:00+00:00,7750000,7.75M,,,,
_AEYE,2021-12-20T07:00:00+00:00,5560000,5.56M,,,,
_AFI,2021-12-20T07:00:00+00:00,20980000,20.98M,,,,
_AFIB,2021-12-20T07:00:00+00:00,26000000,26.00M,,,,
_AFYA,2021-12-20T07:00:00+00:00,37030000,37.03M,,,,
_AGFS,2021-12-20T07:00:00+00:00,20100000,20.10M,,,,
_AGFY,2021-12-20T07:00:00+00:00,18850000,18.85M,,,,
_AGIO,2021-12-20T07:00:00+00:00,53670000,53.67M,,,,
