ticker,utc_time,finviz_float_raw,finviz_float_fmt,finviz_outstanding_raw,finviz_outstanding_fmt,finviz_short_interest_raw,finviz_short_interest_fmt
_AACG,2022-04-04T07:00:00+00:00,29370000,29.4M,,,,
_AACI,2022-04-04T07:00:00+00:00,15160000,15.2M,,,,
_AADI,2022-04-04T07:00:00+00:00,20630000,20.6M,,,,
_AAIC,2022-04-04T07:00:00+00:00,28380000,28.4M,,,,
_AAME,2022-04-04T07:00:00+00:00,4019999,4.02M,,,,
_AAN,2022-04-04T07:00:00+00:00,30050000,30M,,,,
_AAOI,2022-04-04T07:00:00+00:00,25600000,25.6M,,,,
_AATC,2022-04-04T07:00:00+00:00,3120000,3.12M,,,,
_ABGI,2022-04-04T07:00:00+00:00,15060000,15.1M,,,,
_ABIO,2022-04-04T07:00:00+00:00,14200000,14.2M,,,,
_ABOS,2022-04-04T07:00:00+00:00,32200000,32.2M,,,,
_ABSI,2022-04-04T07:00:00+00:00,62450000,62.4M,,,,
_ABST,2022-04-04T07:00:00+00:00,37490000,37.5M,,,,
_ABVC,2022-04-04T07:00:00+00:00,5950000,5.95M,,,,
_ACAQ,2022-04-04T07:00:00+00:00,10440000,10.4M,,,,
_ACCD,2022-04-04T07:00:00+00:00,64510000,64.5M,,,,
_ACEL,2022-04-04T07:00:00+00:00,59040000,59M,,,,
_ACER,2022-04-04T07:00:00+00:00,12120000,12.1M,,,,
_ACET,2022-04-04T07:00:00+00:00,12750000,12.8M,,,,
_ACEV,2022-04-04T07:00:00+00:00,8050000,8.05M,,,,
_ACHL,2022-04-04T07:00:00+00:00,38230000,38.2M,,,,
_ACHV,2022-04-04T07:00:00+00:00,8620000,8.62M,,,,
_ACII,2022-04-04T07:00:00+00:00,25880000,25.9M,,,,
_ACIU,2022-04-04T07:00:00+00:00,39980000,40M,,,,
_ACLX,2022-04-04T07:00:00+00:00,31030000,31M,,,,
_ACMR,2022-04-04T07:00:00+00:00,11490000,11.5M,,,,
_ACNB,2022-04-04T07:00:00+00:00,8340000,8.34M,,,,
_ACOR,2022-04-04T07:00:00+00:00,10270000,10.3M,,,,
_ACQR,2022-04-04T07:00:00+00:00,19400000,19.4M,,,,
_ACR,2022-04-04T07:00:00+00:00,8530000,8.53M,,,,
_ACRE,2022-04-04T07:00:00+00:00,43980000,44M,,,,
_ACRO,2022-04-04T07:00:00+00:00,26020000,26M,,,,
_ACRS,2022-04-04T07:00:00+00:00,53140000,53.1M,,,,
